Namespace(dict='data/CBTest/data/cbtest_NE_train.txtdict.pt', model='models/gru/model2_epoch8_acc_70.25.pt', out='models/gru/model2_epoch8_acc_70.25.ptresult.txt', testdata='data/CBTest/data/cbtest_NE_test_2500ex.txt.pt')
Loading dict data/CBTest/data/cbtest_NE_train.txtdict.pt
Loading test data
Loading model from  models/gru/model2_epoch8_acc_70.25.pt
 * vocabulary size = 15683
 * number of test samples. 2500
 * maximum batch size. 64
Building model...
Evaluate on test data
593 : 55 : 0
368 : 12 : 1
480 : 34 : 0
391 : 24 : 0
481 : 7 : 1
315 : 55 : 1
567 : 39 : 0
623 : 53 : 1
219 : 13 : 0
360 : 6 : 1
440 : 35 : 1
234 : 15 : 1
260 : 28 : 0
259 : 25 : 0
703 : 49 : 1
361 : 33 : 1
561 : 18 : 0
473 : 12 : 1
266 : 28 : 0
329 : 54 : 1
374 : 31 : 1
303 : 32 : 1
393 : 17 : 1
451 : 40 : 1
544 : 72 : 1
524 : 43 : 1
669 : 25 : 0
298 : 23 : 1
663 : 24 : 1
279 : 12 : 1
286 : 27 : 1
748 : 49 : 0
548 : 40 : 0
273 : 19 : 1
246 : 58 : 1
310 : 10 : 1
450 : 20 : 1
359 : 2 : 1
370 : 8 : 1
449 : 27 : 1
315 : 16 : 1
519 : 48 : 1
522 : 16 : 0
404 : 36 : 0
326 : 28 : 0
370 : 39 : 1
715 : 38 : 1
508 : 47 : 1
292 : 7 : 0
512 : 11 : 1
572 : 26 : 1
269 : 36 : 1
312 : 9 : 0
500 : 24 : 0
478 : 51 : 1
584 : 36 : 1
262 : 15 : 0
544 : 72 : 0
383 : 7 : 0
287 : 48 : 1
332 : 16 : 0
343 : 14 : 1
186 : 14 : 1
620 : 33 : 0
251 : 20 : 0
542 : 25 : 0
326 : 22 : 1
299 : 5 : 1
740 : 18 : 0
347 : 4 : 1
355 : 28 : 0
388 : 17 : 1
626 : 36 : 1
467 : 18 : 0
386 : 40 : 1
586 : 35 : 0
330 : 15 : 1
268 : 19 : 1
500 : 54 : 1
280 : 37 : 0
283 : 18 : 0
303 : 16 : 1
335 : 12 : 1
288 : 15 : 1
402 : 36 : 1
300 : 20 : 0
254 : 16 : 1
249 : 21 : 1
333 : 46 : 0
525 : 28 : 1
300 : 17 : 1
723 : 34 : 1
344 : 24 : 0
301 : 32 : 0
444 : 29 : 1
445 : 48 : 0
462 : 26 : 1
320 : 19 : 0
300 : 10 : 1
760 : 64 : 0
255 : 12 : 1
647 : 32 : 1
539 : 50 : 1
422 : 3 : 1
279 : 33 : 1
306 : 33 : 1
261 : 10 : 1
363 : 27 : 1
384 : 14 : 0
